Полицейский оперативной роты полиции;Екатеринбург;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Музыкальный руководитель;Екатеринбург;МБДОУ - детский сад № 146;Умение работать в коллективе, Креативность, Грамотная речь, 
Промоутер провайдера;Нижний Тагил;АйТиЭм Холдинг;Грамотная речь, Навыки продаж, готовность к подвижной работе, Ориентация на результат, Активность, Стремление зарабатывать, Обучаемость, Целеустремленность, 
Кладовщик / Комплектовщик;Серов;Пятёрочка;
"Кладовщик (р-н ЖБИ). Склад РЦ ""ЯБЛОКО""";Екатеринбург;Яблоко, торговая сеть;
Полицейский оперативной роты полиции;Екатеринбург;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Монтажник оборудования связи;Екатеринбург;МОТИВ, телекоммуникационная группа;
Разработчик (iOS);Екатеринбург;Удобные Решения;
Токарь-карусельщик;Екатеринбург;Завод УРБО;
Кладовщик / Комплектовщик;Среднеуральск;Пятёрочка;
Программист 1С;Екатеринбург;Айтекс, Центр Информационных Технологий;
Начинающий программист 1С;Екатеринбург;Айтекс, Центр Информационных Технологий;
Инженер - конструктор (машиностроение) г.Полевской;Полевской;Люди Дела;Компас-3D, разработка чертежей, ГОСТ, Разработка проектной документации, нормативно-техническая документация, Деловая переписка, производство, ЕСКД, Грамотность, Электронный документооборот, Техническая документация, 
Полицейский (водитель) оперативной роты полиции;Екатеринбург;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Продавец - консультант;Заречный (Свердловская область);Связной;
Кладовщик / Комплектовщик;Михайловск (Свердловская область);Пятёрочка;
Инженер-конструктор;Екатеринбург;НПО автоматики;
Сетевой инженер Cisco;Екатеринбург;СКБ-Банк;
Менеджер по продажам;Нижний Тагил;Рекламно-производственная компания Ником Реклама;Корпоративные продажи, Активные продажи, Поиск и привлечение клиентов, Грамотная речь, Знание техники продаж, Ориентация на клиента, Ведение переписки, Телефонные переговоры, Деловое общение, Навыки продаж, Деловая коммуникация, Ведение клиентской базы, Ведение отчетности, 
Менеджер по продажам услуг связи;Екатеринбург;АйТиЭм Холдинг;Грамотная речь, желание совершенствовать навыки продаж, нацеленность на результат, обучаемость, 
Продавец-консультант (ул. Альпинистов);Екатеринбург;КЕРАМА-Екатеринбург;консультирование покупателей, Мерчандайзинг, Прямые продажи, Инвентаризация, 
Промоутер провайдера;Екатеринбург;АйТиЭм Холдинг;
Кладовщик / Комплектовщик;Сысерть;Пятёрочка;
Полицейский (водитель) оперативной роты полиции;Белоярский (Свердловская область);5 рота Полка ППСП УМВД России по г. Екатеринбург;
DevOps инженер;Екатеринбург;Targem Games;
Заведующий складом взрывчатых материалов;Нижняя Тура;Подразделение ООО Штайгер г. Екатеринбург;Складской Учет, Документальное сопровождение, Складской документооборот, 1С: Склад, Подготовка отчетов, 
Менеджер по продажам (контейнерные перевозки);Екатеринбург;Карьера, г. Екатеринбург;
Кладовщик / Комплектовщик;Качканар;Пятёрочка;
Полицейский (водитель) оперативной роты полиции;Верхняя Пышма;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Менеджер по организации схемных и негабаритных перевозок;Екатеринбург;Way-Group;Расчет себестоимости, Навыки переговоров, Деловая коммуникация, Поиск и привлечение клиентов, 
Инженер-конструктор (машиностроение);Екатеринбург;Люди Дела;
Менеджер по работе с клиентами (радиоэлектронные компоненты);Екатеринбург;ГК Промэлектроника;
Полицейский (водитель) оперативной роты полиции;Каменск-Уральский;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Менеджер активных продаж;Екатеринбург;Строительный Двор;
Полицейский оперативной роты;Верхняя Пышма;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Офис-менеджер / секретарь;Нижний Тагил;Рекламно-производственная компания Ником Реклама;Документооборот, Офисная техника, Пользователь ПК, Грамотность, Деловая переписка, исходящая корреспонденция, Прием и распределение телефонных звонков, Телефонные переговоры, Грамотная речь, Обеспечение жизнедеятельности офиса, Входящая корреспонденция, Прием посетителей, Поддержка работы офиса, 
Полицейский (водитель) оперативной роты полиции;Березовский (Свердловская область);5 рота Полка ППСП УМВД России по г. Екатеринбург;
Кладовщик / Комплектовщик;Новая Ляля;Пятёрочка;
Монтажник связи;Екатеринбург;МОТИВ, телекоммуникационная группа;
Продавец-консультант в салон сотовой связи;Екатеринбург;Группа компаний Альянс;1С: Торговля, 1С: Розница, Активные продажи, Клиентоориентированность, Консультирование, Прямые продажи, Работа в команде, Обучение и развитие, Пользователь ПК, Грамотная речь, Консультативные продажи, Деловое общение, Работа с возражениями, Работа с большим объемом информации, 
Инженер связи (строительство базовых станций);Екатеринбург;МОТИВ, телекоммуникационная группа;
Риелтор;Екатеринбург;ОН ПЕРСПЕКТИВА24 - Екатеринбург;Жилая недвижимость, Ведение переговоров, Управление продажами, Активные продажи, Поиск и привлечение клиентов, Заключение договоров, Сопровождение сделок, Вторичная недвижимость, Первичная недвижимость, Навыки продаж, Организация встреч, Агентские продажи, Работа с возражениями, CRM, Лидерство, 
Мерчендайзер с функцией грузчика Fix Price;Екатеринбург;КС Интернешнл;
Начинающий специалист;Екатеринбург;Связной;
Полицейский оперативной роты;Нижний Тагил;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Супервайзер торговых представителей АПК;Екатеринбург;ТК ЯРВЕТ;Управление продажами, Обучение персонала, Активные продажи, Мотивация персонала, Подбор персонала, 
Кладовщик / Комплектовщик;Новоуральск;Пятёрочка;
Кладовщик / Комплектовщик;Каменск-Уральский;Пятёрочка;
Уборщик служебных помещений;Екатеринбург;МБДОУ - детский сад № 146;
Инженер-проектировщик (сети связи);Екатеринбург;Уралэнерготел;AutoCAD, Разработка проектной документации, Проектная документация, MS Movie Maker, Планирование карьеры, 
Полицейский боец ОМОН;Екатеринбург;ОМОН Главного управления Росгвардии г. Москвы (отдельный батальон);
Специалист-консультант по работе с программой 1С;Екатеринбург;Айтекс, Центр Информационных Технологий;
Полицейский (водитель) оперативной роты полиции;Каменск-Уральский;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Кладовщик / Комплектовщик;Нижняя Тура;Пятёрочка;
Разработчик баз данных;Екатеринбург;Компания Максим (maxim);
Менеджер по продажам (Горюче-смазочные материалы);Екатеринбург;Кадровый центр STAFF-Профи;Поиск и привлечение клиентов, Холодные продажи, Ведение переговоров, Заключение договоров, Активные продажи, Планирование продаж, Аналитика продаж, Сопровождение клиентов, Прямые продажи, Деловая переписка, Подготовка коммерческих предложений, Контроль дебиторской задолженности, работа с текущей базой клиентов, Управление отношениями с клиентами, 
Менеджер по продажам;Екатеринбург;Связной;
Менеджер по работе с клиентами (продажи);Екатеринбург;ОН ПЕРСПЕКТИВА24 - Екатеринбург;Управление продажами, Активные продажи, Тренинги, Обучение персонала, CRM, 
Менеджер по жилой и коммерческой недвижимости;Екатеринбург;Этажи, федеральная компания;
Врач-онколог (бесплатная профпереподготовка);Нижний Тагил;HRT Group;Онкология, Химиотерпия, Врач-онколог, Лекарственная терапия, 
Инженер по САПР;Екатеринбург;Уральский завод гражданской авиации;Компас-3D, AutoCAD, АСКОН, SolidWorks, Навыки межличностного общения, MS Outlook, Компас, нормативно-техническая документация, Compass 3D, Проектная документация, Проектно-конструкторская деятельность, Консультирование, Аналитические способности, Деловая переписка, Точность и внимательность к деталям, Обучение персонала, 
Менеджер по продажам;Екатеринбург;АльянсКомплект;Холодные продажи, Работа с возражениями, Работа с дебиторской задолженностью, Аналитика продаж, работа с текущей базой клиентов, Поиск и привлечение клиентов, Активные продажи, Ведение переговоров, Пользователь ПК, 
Полицейский оперативной роты;Первоуральск;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Сотрудник службы охраны в гостиницу;Екатеринбург;Ричмонд;Охрана объекта, Грамотная речь, Навыки межличностного общения, Грамотность, Работа в команде, 
Кладовщик / Комплектовщик;Краснотурьинск;Пятёрочка;
Старший программист 1С;Екатеринбург;Айтекс, Центр Информационных Технологий;1С программирование, 1С: Предприятие 8, 1С: Управление Производственным Предприятием, 1С: Комплексная автоматизация, 1С: Зарплата и управление персоналом, 1С: Бухгалтерия, 1С: Торговля и склад, Управление проектами, 
Ведущий конструктор (электрооборудование);Екатеринбург;НПП «Старт» им. А.И. Яскина;
Полицейский/полицейский-водитель;Екатеринбург;Полк патрульно-постовой службы полиции Управления МВД России по г. Екатеринбургу;
Водитель такси;Каменск-Уральский;Подключение водителей к сервису Максим;Водительское удостоверение категории B, Водительское удостоверение категории BC, Автомобильные перевозки, Личный автомобиль, 
Менеджер активных продаж;Екатеринбург;Билайн ШПД;Активные продажи, Работа в команде, Навыки продаж, Поиск и привлечение клиентов, Клиентоориентированность, Грамотная речь, 
Менеджер работе с клиентами (м. Космонавтов/м. Чкаловская);Екатеринбург;Этажи, федеральная компания;
Помощник оператора станка;Большой Исток;Витек;
